Year,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Home Team Initials,Away Team Initials
1950,Group 1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Brazil,2,0,Yugoslavia,GRIFFITHS Benjamin (WAL),BRA,YUG
1950,Group 2,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Spain,1,0,England,GALEATI Giovanni (ITA),ESP,ENG
1950,Group 3,Pacaembu,Italy,2,0,Paraguay,ELLIS Arthur (ENG),ITA,PAR
1950,Group 4,Independencia,Uruguay,8,0,Bolivia,READER George (ENG),URU,BOL
1950,Group 1,Eucaliptos,Switzerland,2,1,Mexico,EKLIND Ivan (SWE),SUI,MEX
1950,Group 2,Ilha do Retiro,Chile,5,2,USA,GARDELLI Mario (BRA),CHI,USA
1950,Group 6,Pacaembu,Uruguay,2,2,Spain,GRIFFITHS Benjamin (WAL),URU,ESP
1950,Group 6,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Brazil,7,1,Sweden,ELLIS Arthur (ENG),BRA,SWE
1950,Group 6,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Brazil,6,1,Spain,LEAFE Reginald (ENG),BRA,ESP
1950,Group 6,Pacaembu,Uruguay,3,2,Sweden,GALEATI Giovanni (ITA),URU,SWE
1950,Group 6,Pacaembu,Sweden,3,1,Spain,VAN DER MEER Karel (NED),SWE,ESP
1950,Group 6,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Uruguay,2,1,Brazil,READER George (ENG),URU,BRA
1954,Group 3,Wankdorf Stadium,Uruguay,2,0,Czechoslovakia,ELLIS Arthur (ENG),URU,TCH
1954,Group 3,Hardturm,Austria,1,0,Scotland,FRANKEN Laurent (BEL),AUT,SCO
1954,Group 1,Charmilles,Brazil,5,0,Mexico,WYSSLING Paul (SUI),BRA,MEX
1954,Group 1,La Pontaise,Yugoslavia,1,0,France,GRIFFITHS Benjamin (WAL),YUG,FRA
1954,Group 2,Wankdorf Stadium,Germany FR,4,1,Turkey,DA COSTA VIEIRA Jose (POR),FRG,TUR
1954,Group 2,Hardturm,Hungary,9,0,Korea Republic,VINCENTI Raymond (FRA),HUN,KOR
1954,Group 4,St. Jakob,England,4,4,Belgium,SCHMETZER Emil (FRG),ENG,BEL
1954,Group 4,La Pontaise,Switzerland,2,1,Italy,VIANA Mario (BRA),SUI,ITA
1954,Group 3,St. Jakob,Uruguay,7,0,Scotland,ORLANDINI Vincenzo (ITA),URU,SCO
1954,Group 3,Hardturm,Austria,5,0,Czechoslovakia,STEFANOVIC Vasa (YUG),AUT,TCH
1954,Group 1,Charmilles,France,3,2,Mexico,ASENSI Manuel (ESP),FRA,MEX
1954,Group 1,La Pontaise,Brazil,1,1,Yugoslavia,FAULTLESS Charlie (SCO),BRA,YUG
1954,Group 2,St. Jakob,Hungary,8,3,Germany FR,LING William (ENG),HUN,FRG
1954,Group 2,Charmilles,Turkey,7,0,Korea Republic,MARINO Esteban (URU),TUR,KOR
1954,Group 4,Wankdorf Stadium,England,2,0,Switzerland,ZSOLT Istvan (HUN),ENG,SUI
1954,Group 4,Comunale di Cornaredo,Italy,4,1,Belgium,STEINER Carl (AUT),ITA,BEL
1954,Group 2,Hardturm,Germany FR,7,2,Turkey,VINCENTI Raymond (FRA),FRG,TUR
1954,Group 4,St. Jakob,Switzerland,4,1,Italy,GRIFFITHS Benjamin (WAL),SUI,ITA
1954,Quarter-finals,St. Jakob,Uruguay,4,2,England,STEINER Carl (AUT),URU,ENG
1954,Quarter-finals,La Pontaise,Austria,7,5,Switzerland,FAULTLESS Charlie (SCO),AUT,SUI
1954,Quarter-finals,Charmilles,Germany FR,2,0,Yugoslavia,ZSOLT Istvan (HUN),FRG,YUG
